obs,gnut,male,land,labor,seed,agrochem,usehirlab,imprseed,earlypln,latepln,soil3,extens,socnet,farmtyp3,farmtyp2,dist1,dist2
393,4.905274868,0,-1.609437943,3.299681425,2.302585125,0,1,0,1,0,1,1,1,1,0,1,0
814,4.68213129,0,-1.609437943,4.096475601,2.890371799,8.031385422,1,1,0,0,0,0,0,0,0,0,0
1394,5.780743599,1,-1.609437943,3.977211237,3.218875885,0,1,1,0,1,1,1,1,1,0,0,0
1586,4.68213129,1,-1.609437943,3.555290937,2.302585125,0,0,1,1,0,1,0,0,0,1,1,0
555,3.583518982,0,-1.609437943,3.383372784,2.995732307,0,0,1,0,0,0,0,1,1,0,0,1
210,5.662960529,0,-1.609437943,4.172755241,1.791759491,0,1,0,0,0,0,0,1,1,0,0,1
374,5.59842205,0,-1.609437943,4.348521709,2.302585125,0,0,0,0,0,1,1,1,1,0,1,0
826,4.276666164,1,-1.609437943,3.606584311,1.609437943,0,0,0,0,0,1,0,0,1,0,1,0
1199,4.499809742,1,-1.609437943,3.746346235,2.302585125,0,0,0,0,0,0,0,0,1,0,1,0
249,3.218875885,0,-2.302585125,3.520046473,1.791759491,0,0,1,1,0,1,0,0,0,0,0,0
476,4.969813347,0,-1.609437943,4.389845848,2.890371799,0,0,1,0,0,1,0,0,0,1,0,0
1618,5.634789467,1,-1.609437943,3.536310911,2.995732307,0,0,0,1,0,0,1,1,1,0,0,1
1662,6.173786163,1,-1.609437943,3.753777266,2.995732307,0,1,0,1,0,1,1,0,0,0,1,0
1351,5.192956924,1,-2.302585125,3.742609739,2.302585125,0,0,0,1,0,1,0,0,0,0,1,0
1133,4.68213129,1,-1.609437943,3.725645304,2.302585125,0,0,0,0,0,1,1,1,1,0,1,0
1526,4.276666164,1,-1.609437943,3.162559509,2.708050251,0,1,1,0,0,1,0,1,1,0,1,0
465,3.583518982,0,-2.302585125,2.481266737,2.302585125,0,0,0,0,0,1,0,0,1,0,1,0
369,5.886104107,0,-1.609437943,3.485232115,2.302585125,0,1,0,0,0,0,0,0,0,1,1,0
1192,4.787491798,1,-1.609437943,3.735429049,2.302585125,0,0,1,0,0,0,0,1,1,0,0,1
1573,4.394449234,1,-1.609437943,3.82972765,2.302585125,0,0,1,0,0,0,1,1,1,0,0,1
1681,5.375278473,1,-1.609437943,3.709000587,2.708050251,0,0,0,1,0,0,0,1,0,0,1,0
235,4.499809742,0,-1.609437943,3.927128315,2.708050251,9.030016899,0,0,0,0,1,0,1,1,0,1,0
1025,4.68213129,1,-1.609437943,4.179175854,2.833213329,9.086815834,0,1,0,0,0,0,1,1,0,0,1
203,4.276666164,0,-1.609437943,3.516904116,2.302585125,0,0,0,0,0,1,0,0,0,1,1,0
1421,5.501258373,1,-1.609437943,4.099531174,1.791759491,0,1,1,1,0,1,0,1,0,1,0,1
429,3.80666256,0,-2.302585125,3.210359573,1.609437943,0,0,0,0,1,0,0,1,1,0,0,0
